Ime;P;K;Vrsta;Zvezna država;Regija
Kheer sagar;25;60;sladica;Odiša;Vzhodna
Khichdi;40;20;glavna jed;;
Khichu;5;10;prigrizek;Gudžarat;Zahodna
Khorisa;;;glavna jed;Asam;Severovzhodna
Kofta;20;40;glavna jed;Utar Pradeš;Severna
Koldil Chicken;;;glavna jed;Asam;Severovzhodna
Koldil Duck;;;glavna jed;Asam;Severovzhodna
Kolim Jawla;;;glavna jed;Maharaštra;Zahodna
Kombdi vade;10;25;prigrizek;Maharaštra;Zahodna
Konir Dom;;;glavna jed;Asam;Severovzhodna
Kootu;10;15;glavna jed;Tamil Nadu;Južna
Kos kootu;10;20;glavna jed;Tamil Nadu;Južna
Koshambri;10;20;glavna jed;Karnataka;Južna
Koshimbir;10;10;glavna jed;Maharaštra;Zahodna
Kothamali sadam;10;20;glavna jed;Tamil Nadu;Južna
Kulfi falooda;45;25;sladica;;
Kumol Sawul;;;glavna jed;Asam;Severovzhodna
Kutchi dabeli;30;10;prigrizek;Gudžarat;Zahodna
Kuzhakkattai;10;90;glavna jed;Tamil Nadu;Južna
Kuzhambu;5;30;glavna jed;Tamil Nadu;Južna
Kuzhi paniyaram;10;20;sladica;Kerala;Južna
Laapsi;10;40;glavna jed;Madža Pradeš;Osrednja
Laddu;10;40;sladica;;
Lassi;5;5;sladica;Pandžab;Severna
Lauki ke kofte;20;40;glavna jed;Utar Pradeš;Severna
Lauki ki subji;10;20;glavna jed;;
Ledikeni;45;45;sladica;Zahodna Bengalija;Vzhodna
Lilva Kachori;30;6;prigrizek;Gudžarat;Zahodna
